MovementType,Mean,Lower,Upper
TT,-0.42,-0.83,0.0
DD,-0.22,-0.75,0.35
UW,0.12,-0.25,0.53
UT,0.3,-0.03,0.7
DT,-0.18,-0.63,0.28
WT,0.08,-0.35,0.5
DW,0.32,-0.1,0.68
WW,0.13,-0.35,0.58
DU,0.27,-0.05,0.62
UU,0.18,-0.22,0.6
