MovementType,Mean,Lower,Upper
TT,0.15,-0.32,0.62
DD,-0.12,-0.55,0.33
UW,0.13,-0.28,0.53
UT,0.05,-0.32,0.47
DT,-0.02,-0.45,0.38
WT,0.52,0.12,0.9
DW,0.23,-0.12,0.58
WW,0.33,-0.1,0.8
DU,-0.12,-0.45,0.23
UU,0.05,-0.3,0.4
