,Fab_Mean,Fab_Lower,Fab_Upper,Sil_Mean,Sil_Lower,Sil_Upper
DD,2.71,2.28,3.17,2.71,2.23,3.23
DT,3.04,2.71,3.37,2.96,2.6,3.29
DU,3.63,3.29,3.94,3.54,3.31,3.76
DW,3.55,3.2,3.88,3.3,3.03,3.57
TT,3.29,2.88,3.67,3.25,2.96,3.54
UT,3.49,3.21,3.76,3.15,2.73,3.53
UU,3.7,3.32,4.11,3.79,3.47,4.07
UW,3.34,3.07,3.64,3.75,3.41,4.09
WT,3.39,3.08,3.68,3.3,2.86,3.73
WW,3.91,3.54,4.27,3.48,3.09,3.89
