,Mean,Lower,Upper
DD,2.83,2.5,3.12
DT,3.44,3.03,3.82
DU,3.12,2.79,3.41
DW,3.6,3.27,3.97
TT,3.62,3.21,3.97
UT,3.2,2.85,3.55
UU,3.71,3.34,4.0
UW,3.69,3.31,4.0
WT,3.5,2.86,4.09
WW,3.31,2.94,3.69
