,Mean,Lower,Upper
DD,2.71,2.21,3.21
DT,3.03,2.56,3.47
DU,3.74,3.44,4.06
DW,3.47,3.1,3.83
TT,2.91,2.59,3.24
UT,3.25,2.9,3.65
UU,3.89,3.53,4.24
UW,3.81,3.41,4.19
WT,3.45,2.91,4.0
WW,3.53,3.12,3.97
