,Mean,Lower,Upper
DD,2.53,2.08,3.0
DT,2.73,2.23,3.19
DU,3.69,3.35,4.08
DW,3.7,3.27,4.07
TT,3.27,2.77,3.77
UT,3.68,3.38,3.98
UU,3.77,3.41,4.23
UW,3.39,2.96,3.89
WT,3.37,3.0,3.74
WW,4.0,3.5,4.43
