,Mean,Lower,Upper
DD,3.17,2.72,3.64
DT,3.15,2.77,3.58
DU,3.46,3.27,3.65
DW,3.2,2.83,3.6
TT,2.88,2.42,3.38
UT,3.52,3.12,3.85
UU,3.68,3.23,4.14
UW,3.11,2.71,3.54
WT,3.05,2.76,3.34
WW,3.18,2.57,3.75
