,Mean,Lower,Upper
DD,2.71,2.17,3.29
DT,2.88,2.56,3.24
DU,3.35,3.09,3.56
DW,3.13,2.8,3.4
TT,3.59,3.23,3.94
UT,3.1,2.5,3.55
UU,3.68,3.32,4.03
UW,3.69,3.31,4.06
WT,3.14,2.68,3.64
WW,3.44,2.97,3.88
