,Mean,Lower,Upper
DD,2.92,2.47,3.31
DT,3.15,2.73,3.65
DU,3.42,3.04,3.85
DW,3.37,3.1,3.63
TT,2.92,2.38,3.42
UT,3.58,3.2,3.95
UU,3.59,3.18,4.0
UW,3.21,2.79,3.71
WT,3.47,3.24,3.68
WW,3.68,3.32,4.04
