,Mean,Lower,Upper
DD,2.75,2.42,3.04
DT,3.47,3.12,3.85
DU,3.29,2.91,3.65
DW,3.3,2.93,3.67
TT,3.38,2.88,3.85
UT,3.15,2.8,3.45
UU,3.58,3.26,3.87
UW,3.53,3.22,3.88
WT,2.82,2.23,3.36
WW,3.12,2.66,3.53
