,Mean,Lower,Upper
DD,2.1,1.7,2.533
DT,2.733,2.367,3.133
DU,3.533,3.2,3.867
DW,3.433,3.167,3.7
TT,3.0,2.689,3.31
UT,3.517,3.172,3.897
UU,3.433,3.0,3.8
UW,3.467,3.133,3.8
WT,3.267,2.9,3.6
WW,3.7,3.333,4.033
