,Mean,Lower,Upper
DD,3.4,2.9,3.9
DT,3.733,3.367,4.1
DU,3.733,3.4,4.033
DW,4.033,3.767,4.3
TT,3.533,3.1,3.933
UT,3.567,3.233,3.867
UU,4.103,3.828,4.345
UW,3.793,3.448,4.172
WT,3.933,3.6,4.233
WW,3.867,3.533,4.2
