,Mean,Lower,Upper
DD,2.7,2.267,3.167
DT,2.8,2.467,3.167
DU,3.0,2.667,3.333
DW,2.933,2.533,3.333
TT,2.833,2.4,3.267
UT,3.033,2.633,3.367
UU,3.333,3.0,3.667
UW,2.9,2.467,3.3
WT,2.633,2.299,3.0
WW,2.967,2.533,3.433
