,Mean,Lower,Upper
DD,3.3,2.932,3.7
DT,3.867,3.467,4.234
DU,3.733,3.366,4.1
DW,3.567,3.233,3.9
TT,3.5,3.1,3.9
UT,3.767,3.333,4.167
UU,3.9,3.533,4.233
UW,3.767,3.5,4.067
WT,3.3,2.867,3.667
WW,3.333,2.933,3.767
