,Mean,Lower,Upper
DD,2.733,2.3,3.2
DT,2.867,2.6,3.167
DU,3.367,3.167,3.6
DW,3.167,2.9,3.467
TT,3.467,3.2,3.767
UT,3.167,2.8,3.5
UU,3.533,3.2,3.867
UW,3.567,3.2,3.9
WT,3.367,3.033,3.701
WW,3.5,3.1,3.9
