,Mean,Lower,Upper
DD,2.367,1.967,2.7
DT,2.9,2.532,3.267
DU,2.767,2.333,3.2
DW,2.933,2.6,3.333
TT,3.1,2.667,3.533
UT,3.345,2.897,3.793
UU,3.233,2.867,3.6
UW,3.133,2.7,3.567
WT,3.033,2.699,3.433
WW,3.1,2.733,3.5
