,Mean,Lower,Upper
DD,3.1,2.633,3.567
DT,3.067,2.633,3.5
DU,3.9,3.633,4.133
DW,3.733,3.367,4.067
TT,3.067,2.667,3.434
UT,3.586,3.276,3.897
UU,4.345,4.138,4.552
UW,3.767,3.4,4.133
WT,3.533,3.167,3.867
WW,3.8,3.367,4.201
