,Mean,Lower,Upper
DD,2.9,2.5,3.3
DT,3.3,2.967,3.633
DU,3.533,3.233,3.833
DW,3.367,3.067,3.7
TT,3.5,3.2,3.8
UT,3.3,2.932,3.667
UU,3.8,3.467,4.133
UW,3.433,3.067,3.8
WT,3.267,2.9,3.633
WW,3.733,3.3,4.133
